# CGHS rates for treatment at healthcare organisations, Tier I (X) cities, semi private ward.
# Source: Office Memorandum F.No.5-16/CGHS(HQ)/HEC/2024(PartI) dated 03.10.2025, Annexure I (A),
#         effective 13.10.2025, as published by the Directorate General of Health Services, Delhi:
#         https://dgehs.delhi.gov.in/sites/default/files/inline-files/cghs_rate.pdf
# Source file SHA-256: 964b42f58eb0852d93293a658a183cceaafae33ba30a892979262c21695b9746
# Extracted 2026-09-25: 1998 rows, serial numbers 1 to 1998 without gaps, every rate cross checked
# against the source text. Delhi is a Tier I (X) city. Rates in rupees.
sr,code,name,speciality,non_nabh,nabh,super_speciality
550,CA020,BCR-ABL by PCR-Quantitative,Oncology Investigations,3400,4000,4000
551,CA021,BRAF,Oncology Investigations,7650,9000,9000
552,CA022,BRCA1 & BRCA2,Oncology Investigations,17000,20000,20000
553,CA023,C3d Single Allele Antibody for HLA Class I (C3dLSA Class I) /C3d Single Allele Antibody for HLA Class II (C3dLSA Class II),Oncology Investigations,14875,17500,17500
554,CA024,CAN ASSIST,Oncology Investigations,42500,50000,50000
555,CA025,CCND1/IgH: t(11;14),Oncology Investigations,3987,4690,4690
556,CA026,CD 19 and CD 20,Oncology Investigations,1275,1500,1500
557,CA027,Cell line karyotyping,Oncology Investigations,9435,11100,11100
558,CA028,Chimerism Analysis,Oncology Investigations,1309,1540,1540
559,CA029,Chromosomal breakage (fragility) studies in Fanconi's Anemia/Aplastic Anemia,Oncology Investigations,4713,5545,5545
560,CA030,Chronic Lymphocytic Leukemia (CLL) Panel,Oncology Investigations,9835,11570,11570
561,CA031,"Chronic Lymphocytic Leukemia Comprehensive Mutation Profile (IGVH Gene Mutation & Usage, T",Oncology Investigations,28322,33320,33320
562,CA032,Chronic Lymphocytic Leukemia IGVH Mutation Detection,Oncology Investigations,5398,6350,6350
563,CA033,Chronic Lymphoproliferative disorder IGVH Mutation Detection,Oncology Investigations,5398,6350,6350
564,CA034,Chronic Lymphoproliferative disorder NOTCH1 mutation / NOTCH2 mutation,Oncology Investigations,4582,5390,5390
565,CA035,Chronic Lymphoproliferative disorder SF3B1 mutation,Oncology Investigations,4582,5390,5390
566,CA036,Chronic Lymphoproliferative disorder TP53 mutation,Oncology Investigations,19567,23020,23020
567,CA037,CLINICAL EXOME SEQUENCING,Oncology Investigations,12750,15000,15000
568,CA038,CLL PANEL FISH,Oncology Investigations,8500,10000,10000
569,CA039,CML Blast Crisis karyotyping,Oncology Investigations,4713,5545,5545
570,CA040,Combined High Sensitivity JAK2 V617F and Exon12 Mutation Detection,Oncology Investigations,5806,6830,6830
571,CA041,Comprehensive Molecular Testing,Oncology Investigations,16422,19320,19320
572,CA042,Comprehensive Next Generation sequencing assay for Hematolymphoid malignancies,Oncology Investigations,22950,27000,27000
573,CA043,Constitutional karyotyping,Oncology Investigations,4713,5545,5545
574,CA044,Custom Sequencing Assay,Oncology Investigations,9384,11040,11040
575,CA045,DICER1 Mutation,Oncology Investigations,3298,3880,3880
576,CA046,Donor Specific Antibodies (DSA),Oncology Investigations,6800,8000,8000
577,CA047,EGFR Mutation DETECTION,Oncology Investigations,8075,9500,9500
578,CA048,EGFR Resistance Mutation (T790m Mutation Analysis),Oncology Investigations,6800,8000,8000
579,CA049,ER PR Her2 Neu,Oncology Investigations,2678,3150,3150
580,CA050,"ER/PR/Her2neu, Ki67",Oncology Investigations,4250,5000,5000
581,CA051,Extended Immune subset for Post Allogenic Stem Cell Transplant Monitoring,Oncology Investigations,4250,5000,5000
582,CA052,Factor V Leiden Mutation Detection,Oncology Investigations,5610,6600,6600
583,CA053,FISH for 1p33/TAL1 deletion,Oncology Investigations,4233,4980,4980
584,CA054,FISH FOR HER2 Neu,Oncology Investigations,8500,10000,10000
585,CA055,FISH for t(10;11)(p12;q14)/MLLT10(AF10)/PICALM,Oncology Investigations,4233,4980,4980
586,CA056,FISH for t(11;19)(q23;p13.1)/KMT2A/ELL,Oncology Investigations,4233,4980,4980
587,CA057,FISH for t(5;11)(q35;p15.5) NUP98/NSD1,Oncology Investigations,4233,4980,4980
588,CA058,FISH for t(6;14)(p21;q32) IGH/CCND3,Oncology Investigations,4233,4980,4980
589,CA059,FISH on Bone marrow Smear( 1 marker),Oncology Investigations,2962,3485,3485
590,CA060,FISH on bone marrow smear( 2 markers),Oncology Investigations,4654,5475,5475
591,CA061,FISH on FFPE - Block /Slide (2 markers),Oncology Investigations,4046,4760,4760
592,CA062,FISH PANEL FOR MYELOMA,Oncology Investigations,11900,14000,14000
593,CA063,FISH Test for C19MC amplification,Oncology Investigations,10838,12750,12750
594,CA064,FISH test for CDKN2A,Oncology Investigations,6333,7450,7450
595,CA065,FISH test for CEN 10 loss - on Tissue,Oncology Investigations,3528,4150,4150
596,CA066,FISH test for ETV6 break-apart analysis - On Tissue,Oncology Investigations,5925,6970,6970
597,CA067,FISH test for MAML2 break-apart analysis - On Tissue,Oncology Investigations,6086,7160,7160
598,CA068,Fluorescent PCR + fragment length analysis per Amplicon,Oncology Investigations,298,350,350
599,CA069,GeneCORE Somatic 161 Gene Panel (NGS),Oncology Investigations,25500,30000,30000
600,CA070,Hairy Cell Leukemia Mutation (BRAF V600E) Detection,Oncology Investigations,2967,3490,3490
601,CA071,Hematolymphoid Malignancy At Diagnosis- Cancer Cytogenetics Testing,Oncology Investigations,14548,17115,17115
602,CA072,Hematolymphoid Malignancy Follow-up- Cancer Cytogenetics Testing,Oncology Investigations,12750,15000,15000
603,CA073,Hereditary Cancer Panel,Oncology Investigations,10200,12000,12000
604,CA074,High Sensitivity JAK2 Mutation Detection (V617F),Oncology Investigations,3919,4610,4610
605,CA075,Histone Mutation Detection Assay,Oncology Investigations,7884,9275,9275
606,CA076,"HLA C, DQB Molecular Typing PCR - SSP",Oncology Investigations,6265,7370,7370
607,CA077,HLA Disease Association Next Generation Sequencing HLA-A/B/DRB1/G,Oncology Investigations,3995,4700,4700
608,CA078,HLA Disease Association Sequence based Typing HLA A/B/DRB1,Oncology Investigations,4080,4800,4800
609,CA079,HLA Drug Hypersensitivity Next Generation Sequencing HLA-A/B/DRB1 HLA- A/B/DRB1/G,Oncology Investigations,3995,4700,4700
610,CA080,HLA Drug Hypersensitivity Typing HLA-A/B/DRB1,Oncology Investigations,4080,4800,4800
611,CA081,HLA Loss Chimerism,Oncology Investigations,10200,12000,12000
612,CA082,"HLA-A, B, C, DRB1, DQB1, DPB1 (Sequence Based Typing - SBT)",Oncology Investigations,12750,15000,15000
613,CA083,"HLA-A, B, DRB1 (Sequence Based Typing - SBT)",Oncology Investigations,8500,10000,10000
614,CA084,"HLA-A, B, DRB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,6630,7800,7800
615,CA085,"HLA-C, DQB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,4420,5200,5200
616,CA086,HRR Gene Test,Oncology Investigations,26350,31000,31000
617,CA087,"IGH Characterization IGH/CCND1:t(11;14), IGH/BCL2:t(14;18),BCL6(3q27), MYC(8q24) (4markers",Oncology Investigations,4505,5300,5300
618,CA088,IgH/BCL2 :t(14;18),Oncology Investigations,3987,4690,4690
619,CA089,IGHV Gene Mutation,Oncology Investigations,6375,7500,7500
620,CA090,Interphase FISH test for Chr. 1 copy number variations,Oncology Investigations,9095,10700,10700
621,CA091,IRFA/DUSP22 gene rearrangement by FISH,Oncology Investigations,13243,15580,15580
622,CA092,JAK2 Exon 12 Mutation Detection,Oncology Investigations,3919,4610,4610
623,CA093,"JAK2V617 MUTATION, WITH REFLEX TO JAK2 EX-12,CALR EX-9 MUTATION AND MPL W515, S505 MUTATION",Oncology Investigations,9775,11500,11500
624,CA094,KI67,Oncology Investigations,1105,1300,1300
625,CA095,KIR Typing,Oncology Investigations,4930,5800,5800
626,CA096,KMT2A Characterization for AML,Oncology Investigations,6711,7895,7895
627,CA097,KMT2A Characterization for B-ALL,Oncology Investigations,5181,6095,6095
628,CA098,KRAS + NRAS + BRAF + Mutation Profile,Oncology Investigations,11730,13800,13800
629,CA099,"Lineage specific Chimerism - B Cell, T Cell and NK Cells",Oncology Investigations,6120,7200,7200
630,CA100,Liquid Biopsy (Onco),Oncology Investigations,25500,30000,30000
631,CA101,Lung Basic Panel By NGS,Oncology Investigations,25500,30000,30000
632,CA102,Lymphoma Panel,Oncology Investigations,5925,6970,6970
633,CA103,Lymphoplasmacytic Leukemia / Waldenstroms Macroglobulinemia Mutation (MYD88 L265P) Detection,Oncology Investigations,2967,3490,3490
634,CA104,MDS Panel,Oncology Investigations,5925,6970,6970
635,CA105,MECOM (EVI1) rearrangement: inv(3)(q21.3q26.2)/t(3;3),Oncology Investigations,3987,4690,4690
636,CA106,MGMT PCR,Oncology Investigations,6919,8140,8140
637,CA107,Miscellaneous Profile I(1 marker),Oncology Investigations,2962,3485,3485
638,CA108,Miscellaneous profile II(2 markers),Oncology Investigations,4654,5475,5475
639,CA109,MLPA per gene,Oncology Investigations,3400,4000,4000
640,CA110,Monosomy 5/deletion 5q,Oncology Investigations,2962,3485,3485
641,CA111,Monosomy 7/deletion 7q,Oncology Investigations,2962,3485,3485
642,CA112,MPN (Myelo Proliferative Neoplasm)PANEL,Oncology Investigations,10200,12000,12000
643,CA113,MSI ( Micro Satellite Instability) and MMR (Mis Match Repair),Oncology Investigations,5525,6500,6500
644,CA114,Multigene NGS Germline Panel,Oncology Investigations,15300,18000,18000
645,CA115,Multiple Myeloma (MM) Panel,Oncology Investigations,12640,14870,14870
646,CA116,Multiple Myeloma High Risk Markers (4 Markers),Oncology Investigations,4505,5300,5300
647,CA117,Multiple Myeloma Screening Panel,Oncology Investigations,6800,8000,8000
648,CA118,MYD88 L265 Mutation Detection Test,Oncology Investigations,5746,6760,6760
649,CA119,Myelodysplastic Syndromes karyotyping,Oncology Investigations,4713,5545,5545
650,CA120,Next generation RNA sequencing assay for Chimeric Trancript in Hematolymphod malignancies,Oncology Investigations,14450,17000,17000
651,CA121,Next Generation sequencing assay for Minimal residual disease(MRD) for NPM mutated AML,Oncology Investigations,22950,27000,27000
652,CA122,NGS HLA Typing,Oncology Investigations,8500,10000,10000
653,CA123,NGS Platform-extended Panel >50 gene,Oncology Investigations,30600,36000,36000
654,CA124,NGS Platform-limited Panel(10 Genes),Oncology Investigations,15300,18000,18000
655,CA125,NRAS (Neuroblastoma RAS ) Gene,Oncology Investigations,2975,3500,3500
656,CA126,Panel Reactive Antibodies (PRA) class I,Oncology Investigations,2550,3000,3000
657,CA127,Panel Reactive Antibodies (PRA) class II,Oncology Investigations,2550,3000,3000
658,CA128,PCR + Sanger Sequencing per Amplicon,Oncology Investigations,723,850,850
659,CA129,"PDGFRA (4q12), PDGFRB (5q33), FGFR1 (8p11.2) rearrangement",Oncology Investigations,5181,6095,6095
660,CA130,PDGFRA rearrangement: 4q12,Oncology Investigations,3987,4690,4690
661,CA131,PDGFRB rearrangement: 5q33,Oncology Investigations,3987,4690,4690
662,CA132,PDL 1,Oncology Investigations,4250,5000,5000
663,CA133,PDL-1-28-8 (FDA Approved),Oncology Investigations,6375,7500,7500
664,CA134,Ph: t(9;22) karyotyping,Oncology Investigations,3362,3955,3955
665,CA135,Ph-like ALL Panel (4 Markers),Oncology Investigations,4505,5300,5300
666,CA136,PIK3CA GENE MUTATION,Oncology Investigations,4590,5400,5400
667,CA137,PIK3CA Mutation Testing,Oncology Investigations,4845,5700,5700
668,CA138,Ploidy analysis,Oncology Investigations,3362,3955,3955
669,CA139,"PML-RARA t(15;17), variants",Oncology Investigations,4450,5235,5235
670,CA140,PRA Screen,Oncology Investigations,2550,3000,3000
671,CA141,PTPRT: Deletion 20q,Oncology Investigations,3987,4690,4690
672,CA142,RARA Variant - ZBTB16 / RARA : t(11;17) (1 marker),Oncology Investigations,2576,3030,3030
673,CA143,RHOA Mutation Detection Assay,Oncology Investigations,5925,6970,6970
674,CA144,ROS 1,Oncology Investigations,8262,9720,9720
675,CA145,RQ PCR based assay for MRD monitoring of Acute Leukaemia,Oncology Investigations,8075,9500,9500
676,CA146,RQ-PCR BCR-ABL (P210),Oncology Investigations,9316,10960,10960
677,CA147,RQ-PCR PML-RARA,Oncology Investigations,9316,10960,10960
678,CA148,"RT-PCR Multiplex, Acute Leukaemia Panel",Oncology Investigations,6205,7300,7300
679,CA149,"RT-PCR Multiplex, BCR-ABL (P190, P210)",Oncology Investigations,5398,6350,6350
680,CA150,"RT-PCR Nested, IGH Chain Gene Rearrangement /TCR Gene Rearrangement",Oncology Investigations,3919,4610,4610
681,CA151,Single Antigen Class I,Oncology Investigations,11050,13000,13000
682,CA152,Single Antigen Class II,Oncology Investigations,11050,13000,13000
683,CA153,Slide / Images for Second Opinion- Cancer Cytogenetics,Oncology Investigations,782,920,920
684,CA154,STR Panel studies,Oncology Investigations,3783,4450,4450
685,CA155,Surface Marker Complete Panel,Oncology Investigations,10340,12165,12165
686,CA156,Surface Marker Individual,Oncology Investigations,1615,1900,1900
687,CA157,t(1;22) and Trisomy 21 in Acute Megakaryoblastic Leukemia (AML -M7) (2 Markers),Oncology Investigations,4046,4760,4760
688,CA158,T-cell Acute Lymphoblastic Leukemia (T-ALL) Panel,Oncology Investigations,12895,15170,15170
689,CA159,TCR-A rearrangement: 14q11,Oncology Investigations,3987,4690,4690
690,CA160,TERT Promoter Mutation Assay,Oncology Investigations,4934,5805,5805
691,CA161,TFE-3 FISH,Oncology Investigations,10268,12080,12080
692,CA162,TPMT (Thiopurine Methyl Transferase) Genotyping,Oncology Investigations,4335,5100,5100
693,CA163,Trisomy 12,Oncology Investigations,2061,2425,2425
694,CA164,Trisomy 21,Oncology Investigations,2061,2425,2425
695,CA165,"Trisomy 4, 10 & 17",Oncology Investigations,2962,3485,3485
696,CA166,Trisomy 8,Oncology Investigations,2061,2425,2425
697,CA167,V Beta Repertoire Analysis by Flow Cytometry for T-Cell Clonality,Oncology Investigations,10340,12165,12165
698,CA168,XX/XY (Chimerism Studies) in Sex mismatch Bone Marrow Transplantation (BMT),Oncology Investigations,2061,2425,2425
699,CT001,Single drug Chemotherapy,Chemotherapy,1445,1700,1700
700,CT002,Multiple drugs Chemotherapy/Targeted therapy/Immunotherapy,Chemotherapy,1955,2300,2300
701,CT003,Neoadjuvant Chemotherapy,Chemotherapy,2295,2700,2700
702,CT004,Adjuvant Chemotherapy,Chemotherapy,1870,2200,2200
703,CT005,Concurrent-chemoradiation,Chemotherapy,1615,1900,1900
704,CT006,Intravesical Instillation of BCG excluding the cost of BCG,Chemotherapy,2550,3000,3000
705,RT001,Level 1- Brachytherapy (Eye Plaque or SIVA or CVS per insertion or application),Radiotherapy,5950,7000,8050
706,RT002,"Level 2- Brachytherapy (Simple ICA with Xray based 2D planning, ILRT, Endobilliary BCT)",Radiotherapy,8500,10000,11500
707,RT003,"Level 3- Brachytherapy (Surface Mould, Radical Interstitial BCT, Intraoperative Template or interstitial brachytherapy catheter insertion)",Radiotherapy,21250,25000,28750
708,RT004,Level 4- Brachytherapy (ICA with CT based Planning),Radiotherapy,25500,30000,34500
709,RT005,Level 5- Brachytherapy (Complex ICA with interstitial with CT or MR based planning),Radiotherapy,34000,40000,46000
710,RT006,Level 1- Radiation Therapy (1-10 fractions on Cobalt),Radiotherapy,12750,15000,17250
711,RT007,Level 2- Radiation Therapy (More than 10 fractions on Cobalt OR Upto 10 fractions on LA clinical (without CT or TPS planning) without IGRT OR Hemibody palliative RT (1-2 fractions weekly)),Radiotherapy,23800,28000,32200
712,RT008,Level 3- Radiation Therapy (LA 3D with conventional fractionation of 2-5 Gy OR Weekly hypofractionation of >5 Gy with 3D CRT plan in 1-2 fractions. No IGRT allowed.),Radiotherapy,42500,50000,57500
713,RT009,Level 4- Radiation therapy (LA 3D with IGRT conventional fractionation of 2- 5 Gy OR Weekly hypofractionation >5 Gy with 3D CRT plan in 1-2 fractions. with IGRT),Radiotherapy,53550,63000,72450
714,RT010,Level 5- Radiation Therapy (LA IMRT/ Rapid Arc/VMAT with < 5Gy per fraction and <10 IGRT (CBCT or MVCT or EPID) OR Cobalt Radical with LA boost including electron boost OR TSET OR TBI),Radiotherapy,127500,150000,172500
715,RT011,Level 6- Radiation Therapy (LA 4D/DE or DIBH with 3D CRT/ IMRT/ Rapid Arc/VMAT with >10 IGRT (CBCT or MVCT or EPID) OR LA IMRT/ Rapid Arc/VMAT with <5Gy per fraction and >10 IGRT (CBCT or MVCT or EPID) OR Adaptive RT OR CSI OR Multisite,Radiotherapy,153000,180000,207000
716,IT001,CGHS rates for treatment outside one FOV or one plan OR SBRT OR SRS OR SRT dose >5Gy)) (per fraction Radiosynovectomy with Yttrium,Radio-Isotope Therapy,21250,25000,28750
717,IT002,131-Iodine Therapy 51-100mCi,Radio-Isotope Therapy,12172,14320,16468
718,IT003,131-Iodine Therapy >100mCi,Radio-Isotope Therapy,16809,19775,22741
719,IT004,Samarium-153 therapy for metastatic bone pain palliation,Radio-Isotope Therapy,17043,20050,23058
720,IT005,131-Iodine Therapy <15mCi,Radio-Isotope Therapy,6299,7410,8522
721,IT006,131-Iodine Therapy 15-50mCi,Radio-Isotope Therapy,9486,11160,12834
722,IT007,Phosphorus-32 therapy for metastatic bone pain palliation,Radio-Isotope Therapy,12040,14165,16290
723,PT001,Cervical Traction (per session),Physiotherapy,255,300,300
724,PT002,Lumbar Traction (per session),Physiotherapy,255,300,300
725,PT003,Exercises /Post Natal Exercises/Prenatal Exercises/Therapeutic Exercises/Orthopaedic Rehabilitation (Joint Replacement/Post Surgery)/Hand Rehab (per session),Physiotherapy,255,300,300
726,PT004,Chest Physiotherapy/ Breathing Exercise &Postural Drainage per Session/Post Covid Rehabilitation /Pulmonary Rehabilitation/Cardiac Rehabilitation (per session),Physiotherapy,255,300,300
727,PT005,Ultra Sonic Therapy /Short Wave Diathermy / Microwave/ Long Wave Diathermy /Infrared/IFT) (per session),Physiotherapy,255,300,300
728,PT006,Electrical Muscle Stimulation/Cryotherapy/TENS (per session),Physiotherapy,340,400,400
729,PT007,Hot Pack/ Cold Pack/Wax Bath/Moist Heat (per session),Physiotherapy,255,300,300
730,PT008,Shock Wave Therapy/Matrix Rhythm Therapy/Laser/PEMF -Pulse Electro Magnetic Therapy (per session),Physiotherapy,340,400,400
731,PT009,Gait Assessment (per session),Physiotherapy,510,600,600
732,PT010,Gait Training (per session),Physiotherapy,255,300,300
733,PT011,Tilt Training/Neuro-Rehab Basic (per session),Physiotherapy,255,300,300
734,PT012,Neuro Rehabilitation Advanced (per session),Physiotherapy,680,800,800
735,PT013,Paediatric Rehabilitation (per session),Physiotherapy,255,300,300
736,BT001,Speech Therapy per session of at least 40 minutes,Behavioural Therapy,340,400,400
737,BT002,Occupational Therapy per session of at least 40 minutes,Behavioural therapy,340,400,400
738,BT003,Applied Behaviour Analysis based behaviour therapy (ABA based Behaviour therapy) per session of at least 40 minutes,Behavioural therapy,340,400,400
739,BT004,Special education per session of at least 40 minutes,Behavioural therapy,340,400,400
740,BT005,Biofeedback per session,Behavioural therapy,2550,3000,3000
741,DI001,Intraoral Periapical (IOPA) Radiograph X-ray/RVG(Single Film),Dental Investigation,170,200,200
742,DI002,Intraoral Occlusal/Bite Wing X-Ray,Dental Investigation,255,300,300
743,DI003,Digital OPG with X ray film/ CD,Dental Investigation,425,500,500
744,DI004,Biopsy of Oral tissue- Soft,Dental Biopsy,1020,1200,1200
745,DI005,"Biopsy of Oral tissue - Hard (bone, tooth)",Dental Biopsy,1700,2000,2000
746,DP001,Abscess - Drainage-Dental,Dental Procedure,1275,1500,1500
747,DP002,Scaling,Dental Procedure,850,1000,1000
748,DP003,Curettage and Root Planning - Per Tooth,Dental Procedure,298,350,350
749,DP004,Curettage and Root Planning - Per Arch,Dental Procedure,1700,2000,2000
750,DP005,Gingivoplasty - Per Quadrant,Dental Procedure,850,1000,1000
751,DP006,Gingivectomy - Per Quadrant,Dental Procedure,1020,1200,1200
752,DP007,Flap Surgery- Per Tooth,Dental Procedure,383,450,450
753,DP008,Flap Surgery- Per Quadrant,Dental Procedure,1700,2000,2000
754,DP009,Flap Surgery and Bone Graft per quadrant,Dental Procedure,2550,3000,3000
755,DP010,Extraction - Normal Tooth,Dental Procedure,340,400,400
756,DP011,Complicated Extraction per tooth under LA,Dental Procedure,680,800,800
757,DP012,Extraction Impacted - Soft tissue/ 3rd Molar/wisdom tooth extraction,Dental Procedure,1700,2000,2000
758,DP013,"Multiple Extraction and Treatment Procedures for Special Children, Patients with Systemic Diseases, Patient with Special Needs Which Requires Admission and Treatment Under GA",Dental Procedure,5100,6000,6000
759,DP014,Extraction - Orthodontic Extraction,Dental Procedure,638,750,750
760,DP015,Operculectomy- Pericoronal flap excision,Dental Procedure,1700,2000,2000
761,DP016,Extraction Impacted - Bony,Dental Procedure,4250,5000,5000
762,DP017,Alveoloplasty - Per Tooth,Dental Procedure,255,300,300
763,DP018,Alveoloplasty - Per Quadrant,Dental Procedure,1020,1200,1200
764,DP019,Frenectomy,Dental Procedure,2125,2500,2500
765,DP020,Excision of hyperplastic tissue - per arch,Dental Procedure,1020,1200,1200
766,DP021,Surgical Augmentation/Alveolectomy per Arch,Dental Procedure,2975,3500,3500
767,DP022,Bone replacement graft for ridge preservation - per site,Dental Procedure,1700,2000,2000
768,DP023,"Minor oral surgery, cyst, granuloma, residual infection, mucocele, epulis under LA",Dental Procedure,1700,2000,2000
769,DP024,Application of Desensitizing Medicament,Dental Procedure,425,500,500
770,DP025,Fluoride Application for Children,Dental Procedure,850,1000,1000
771,DP026,Temporary restoration,Dental Procedure,128,150,150
772,DP027,Glass ionomer Cement Restoration,Dental Procedure,510,600,600
773,DP028,Composite - Occlusal Pit/Class I,Dental Procedure,425,500,500
774,DP029,Composite -Class I with buccal extension/Class II Class III/Class IV/Class VI/Diastema Closure/MOD,Dental Procedure,850,1000,1000
775,DP030,RCT-Single Rooted tooth,Dental Procedure,1700,2000,2000
776,DP031,RCT Multiple root and/ canal tooth,Dental Procedure,2550,3000,3000
777,DP032,Re-RCT - Anterior,Dental Procedure,2125,2500,2500
778,DP033,Re-RCT - Posterior,Dental Procedure,2550,3000,3000
779,DP034,Medication -intracanal medicament (only lesion cases),Dental Procedure,425,500,500
780,DP035,Apicectomy-Single tooth,Dental Procedure,1700,2000,2000
781,DP036,Apicectomy-Multiple tooth,Dental Procedure,2550,3000,3000
782,DP037,Apexification with any bio-compatible material,Dental Procedure,1700,2000,2000
783,DP038,Root end resection and Retro grade filling,Dental Procedure,2550,3000,3000
784,DP039,Surgical - Apicectomy/ Periapical surgery without bone grafting,Dental Procedure,595,700,700
785,DP040,"Tissue Conditioning, Maxillary/Mandibular",Dental Procedure,255,300,300
786,DP041,Core build-up/ Post and Core - Custom made /Inlay/onlay,Dental Procedure,1275,1500,1500
787,DP042,Crown lengthening - Per Tooth,Dental Procedure,425,500,500
788,DP043,Crown - PMMA Crown,Dental Procedure,850,1000,1000
789,DP044,Crown - All Metal-Nickel Free,Dental Procedure,1700,2000,2000
790,DP045,Crown - Metal with Ceramic Facing,Dental Procedure,2550,3000,3000
791,DP046,Crown - Recementation,Dental Procedure,510,600,600
792,DP047,Crown - Removal,Dental Procedure,425,500,500
793,DP048,Odontoplasty /Enameloplasty,Dental Procedure,425,500,500
794,DP049,Pulpectomy (Anterior Tooth),Dental Procedure,1700,2000,2000
795,DP050,Pulpectomy (Posterior Tooth),Dental Procedure,2550,3000,3000
796,DP051,Pulpotomy,Dental Procedure,850,1000,1000
797,DP052,Veneer - Ceramic paediatric,Dental Procedure,2550,3000,3000
798,DP053,Interceptive Orthodontic Treatment of the Primary Dentition/Transition Dentition,Dental Procedure,5950,7000,7000
799,DP054,Limited Orthodontic Treatment of the Primary Dentition,Dental Procedure,4250,5000,5000
800,DP055,Occlusion Analysis/Adjustment/Occlusal Equilibration,Dental Procedure,425,500,500
801,DP056,Tooth Splinting -General,Dental Procedure,1275,1500,1500
802,DP057,Splinting - Periodontally weak teeth,Dental Procedure,1530,1800,1800
803,DP058,Night Guard,Dental Procedure,1700,2000,2000
804,DP059,Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown,Dental Procedure,1700,2000,2000
805,DP060,Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown with Ceramic facing,Dental Procedure,2550,3000,3000
806,DP061,Removable Partial Denture - Flexible Per Arch,Dental Procedure,6375,7500,7500
807,DP062,Removable Partial Denture - Cast Metal Up to 3 Teeth,Dental Procedure,3400,4000,4000
808,DP063,Removable Partial Denture - Cast Metal (additional Per tooth),Dental Procedure,255,300,300
809,DP064,Removable Partial Denture - Acrylic Up to 3 teeth,Dental Procedure,1700,2000,2000
810,DP065,Removable Partial Denture - Tooth Addition (per tooth),Dental Procedure,255,300,300
811,DP066,Add Clasp to existing Partial Denture,Dental Procedure,425,500,500
812,DP067,Add Tooth to existing Partial Denture,Dental Procedure,340,400,400
813,DP068,Tooth Supported Overdenture Per Arch,Dental Procedure,6375,7500,7500
814,DP069,Complete Denture - Per Arch,Dental Procedure,8500,10000,10000
815,DP070,Removable orthodontic appliance / Post Orthodontic R O A -per arch,Dental Procedure,2125,2500,2500
816,DP071,Fixed orthodontic per arch,Dental Procedure,12750,15000,15000
817,DP072,Space Maintainers - Fixed,Dental Procedure,3400,4000,4000
818,DP073,Minor Treatment to Control Habits-Removable Appliance Therapy,Dental Procedure,2125,2500,2500
819,DP074,Minor Treatment to Control Habits-Fixed Appliance Therapy,Dental Procedure,3400,4000,4000
820,DP075,Functional orthodontic appliance,Dental Procedure,5100,6000,6000
821,DP076,Feeding appliance for Cleft Palate,Dental Procedure,4250,5000,5000
822,DP077,Expansion plate,Dental Procedure,5525,6500,6500
823,DP078,Maxillofacial Prosthesis -Sal/auricular/orbital/Nasal/Palatal/facial lost/ Speech Aid,Dental Procedure,5950,7000,7000
824,DP079,Obturator Prosthesis - Surgical/Definitive/Modification,Dental Procedure,4250,5000,5000
825,DP080,Removal of - Lateral Exostosis/Torus Mandibularis/Torus Palatines/Surgical reduction of Osseous Tuberosity,Dental Procedure,2550,3000,3000
826,DP081,Sialolithotomy/Sialodocotomy/ Closure of Salivary Fistula,Dental Procedure,1700,2000,2000
827,DP082,Excision of Salivary gland,Dental Procedure,12750,15000,15000
828,DP083,Release of fibrous bands & grafting in (OSMF) treatment under GA,Dental Procedure,17000,20000,20000
829,DP084,Facial Space Abscess,Dental Procedure,4250,5000,5000
830,DP085,Partial Ostectomy / sequestrectomy for removal of non-vital bone,Dental Procedure,1700,2000,2000
831,DP086,Alveolus - Closed Reduction stabilization of Teeth,Dental Procedure,3400,4000,4000
832,DP087,Alveolus - Open Reduction stabilization of Teeth,Dental Procedure,5100,6000,6000
833,DP088,Arch bar fixation,Dental Procedure,4250,5000,5000
834,DP089,Oroantral Fistula closure,Dental Procedure,4250,5000,5000
835,DP090,"Osseous, Oste periosteal, or Cartilage graft of the Mandible or Maxilla - autogenous or non-autogenous bone graft",Dental Procedure,2550,3000,3000
836,DP091,Osteoplasty - for Orthognathic deformities/ Mandibular Rami/ Body of Mandible,Dental Procedure,25500,30000,30000
837,DP092,Maxilla - Closed Reduction,Dental Procedure,5100,6000,6000
838,DP093,Maxilla - Open Reduction,Dental Procedure,8500,10000,10000
839,DP094,Mandible - Closed Reduction,Dental Procedure,5100,6000,6000
840,DP095,Mandible - Open Reduction,Dental Procedure,8500,10000,10000
841,DP096,Cyst of Maxilla/mandible by enucleation/excision/marsupialization upto 4 cms under LA,Dental Procedure,4250,5000,5000
842,DP097,Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under LA,Dental Procedure,5100,6000,6000
843,DP098,Cyst of Maxilla/mandible by enucleation/excision/marsupialization more than 4 cms under GA and admission,Dental Procedure,21250,25000,25000
